feature,importance,fold
allele_type_std,50533.206755161285,11
core_P1_mean,31086.211570560932,11
core_P1_std,11686.068756341934,11
core_P2_mean,34799.963791668415,11
core_P2_std,9474.97072827816,11
core_P3_mean,33913.11308169365,11
core_P3_std,8786.55524879694,11
core_P4_mean,32103.302407741547,11
core_P4_std,9929.307534694672,11
core_P5_mean,21465.69510626793,11
core_P5_std,9744.92114019394,11
core_P6_mean,17990.252958238125,11
core_P6_std,11252.587321698666,11
core_P7_mean,15908.364671230316,11
core_P7_std,13211.079313516617,11
core_P8_mean,15791.89109069109,11
core_P8_std,10940.708592295647,11
core_P9_mean,16902.287165284157,11
core_P9_std,10709.03223156929,11
LPFR_P1_mean,53073.48086977005,11
LPFR_P1_std,18811.818368077278,11
LPFR_P2_mean,61999.5709233284,11
LPFR_P2_std,16943.260608375072,11
LPFR_P3_mean,69741.96251219511,11
LPFR_P3_std,17319.474595308304,11
RPFR_P1_mean,47988.953244805336,11
RPFR_P1_std,17103.557606756687,11
RPFR_P2_mean,55157.56115925312,11
RPFR_P2_std,18045.109974741936,11
RPFR_P3_mean,64637.37742596865,11
RPFR_P3_std,22438.948872685432,11
cluster_mean,828344.4879236817,11
cluster_std,69716.05352288485,11
peptide_nunique,70333.02004766464,11
unique_rate,112211.31598991156,11
p1,14754.739225447178,11
p2,14744.932746767998,11
p3,20239.939519405365,11
p4,18694.796916425228,11
p5,17609.10564059019,11
p6,15860.304106533527,11
p7,16207.729329705238,11
p8,15005.34577023983,11
p9,15529.492525398731,11
blosum_sum,58853.62534970045,11
hla,372447.01170808077,11
allele_type,4.563920021057129,11
length,175743.81799685955,11
n_label,17909.672798216343,11
len_LPFR,27.649309635162354,11
len_RPFR,9466.073328971863,11
len_peptide_transform,2815.764867782593,11
core_P1,13478.435810625553,11
core_P2,10699.150202512741,11
core_P3,10382.986728906631,11
core_P4,9355.0242562294,11
core_P5,8854.313708305359,11
core_P6,13405.090809106827,11
core_P7,9447.618865966797,11
core_P8,8940.844617009163,11
core_P9,10931.299518585205,11
LPFR_P1,15802.89168536663,11
LPFR_P2,18852.498804807663,11
LPFR_P3,19195.03413850069,11
RPFR_P1,20375.304330408573,11
RPFR_P2,19469.311010420322,11
RPFR_P3,24549.57490837574,11
core_atfidf,171171.06091046333,11
core_ctfidf,18754.056055545807,11
core_dtfidf,130085.44414019585,11
core_etfidf,74823.25232422352,11
core_ftfidf,81727.30047631264,11
core_gtfidf,80784.85489988327,11
core_htfidf,28825.367230296135,11
core_itfidf,66128.62569385767,11
core_ktfidf,79637.92455124855,11
core_ltfidf,165219.5640362501,11
core_mtfidf,35403.56622159481,11
core_ntfidf,50945.948194146156,11
core_ptfidf,50288.144603192806,11
core_qtfidf,33633.19169265032,11
core_rtfidf,61498.43375951052,11
core_stfidf,47319.03989934921,11
core_ttfidf,59988.192495942116,11
core_vtfidf,50711.01955342293,11
core_wtfidf,35788.79079437256,11
core_ytfidf,39093.366720199585,11
core_a_count,4793.725733757019,11
core_c_count,0.0,11
core_d_count,352.85340905189514,11
core_e_count,2841.4820080399513,11
core_f_count,1099.116536140442,11
core_g_count,4274.18803691864,11
core_h_count,200.84209823608398,11
core_i_count,2698.824982404709,11
core_k_count,2654.3718821406364,11
core_l_count,1726.6222784519196,11
core_m_count,291.5026025772095,11
core_n_count,314.7456787824631,11
core_p_count,3728.647528409958,11
core_q_count,418.1853654384613,11
core_r_count,781.9588514566422,11
core_s_count,384.3845491409302,11
core_t_count,437.17513251304626,11
core_v_count,78.51760053634644,11
core_w_count,14.75220012664795,11
core_y_count,20.432139992713928,11
cluster,34582.951431155205,11
hla_mean,813630.0877826214,11
hla_std,261509.6797838211,11
allele_type_mean,70401.74226212502,11
allele_type_std,51646.571142196655,11
core_P1_mean,31136.57952159643,11
core_P1_std,12211.048701524734,11
core_P2_mean,32089.71833717823,11
core_P2_std,11247.86787557602,11
core_P3_mean,32863.27553462982,11
core_P3_std,7643.7639265060425,11
core_P4_mean,34205.32643926144,11
core_P4_std,10198.50923717022,11
core_P5_mean,22340.77603507042,11
core_P5_std,9968.852505326271,11
core_P6_mean,19293.97635948658,11
core_P6_std,12129.772387385368,11
core_P7_mean,15582.013902902603,11
core_P7_std,11550.058971643448,11
core_P8_mean,15186.6077029109,11
core_P8_std,10735.57926762104,11
core_P9_mean,17388.11302024126,11
core_P9_std,10711.702026128769,11
LPFR_P1_mean,49086.89560520649,11
LPFR_P1_std,20001.799020528793,11
LPFR_P2_mean,58368.852663874626,11
LPFR_P2_std,14827.684805035591,11
LPFR_P3_mean,63657.120733082294,11
LPFR_P3_std,15823.27388393879,11
RPFR_P1_mean,50105.25573319197,11
RPFR_P1_std,18671.40878558159,11
RPFR_P2_mean,48150.77193534374,11
RPFR_P2_std,21217.40830272436,11
RPFR_P3_mean,55655.74680483341,11
RPFR_P3_std,20963.377495348454,11
cluster_mean,850953.960326314,11
cluster_std,69849.40798157454,11
peptide_nunique,75060.05137246847,11
unique_rate,105207.9736905694,11
p1,16637.627015411854,11
p2,13182.552100121975,11
p3,21075.629490613937,11
p4,19727.265889763832,11
p5,18177.774163246155,11
p6,15463.45746910572,11
p7,17776.512911975384,11
p8,15361.608686327934,11
p9,15060.81455886364,11
blosum_sum,59804.8661737442,11
hla,389531.5882989764,11
allele_type,101.62369012832642,11
length,185371.18287283182,11
n_label,23032.797550559044,11
len_LPFR,96.26094555854797,11
len_RPFR,9474.229233026505,11
len_peptide_transform,2790.448345541954,11
core_P1,12663.970911443233,11
core_P2,11260.124905824661,11
core_P3,10881.63178884983,11
core_P4,10917.256138443947,11
core_P5,11373.406156897545,11
core_P6,13440.310420870781,11
core_P7,10805.24119758606,11
core_P8,9114.198800444603,11
core_P9,12659.247892439365,11
LPFR_P1,16779.726394832134,11
LPFR_P2,19237.61392647028,11
LPFR_P3,19354.812708079815,11
RPFR_P1,19758.125919401646,11
RPFR_P2,20646.777515769005,11
RPFR_P3,25038.671334028244,11
core_atfidf,168022.05471926928,11
core_ctfidf,20364.68493372202,11
core_dtfidf,139504.21273976564,11
core_etfidf,72170.18695384264,11
core_ftfidf,81415.67712068558,11
core_gtfidf,86803.83583813906,11
core_htfidf,28480.0877084136,11
core_itfidf,65152.26657515764,11
core_ktfidf,86091.64830052853,11
core_ltfidf,168426.98761606216,11
core_mtfidf,36806.76212912798,11
core_ntfidf,57794.64692014456,11
core_ptfidf,51222.99539464712,11
core_qtfidf,36907.59608954191,11
core_rtfidf,67999.66589611769,11
core_stfidf,49336.29147696495,11
core_ttfidf,63596.952786266804,11
core_vtfidf,54499.27571552992,11
core_wtfidf,33962.07965052128,11
core_ytfidf,40654.34166574478,11
core_a_count,6055.026165008545,11
core_c_count,331.29489517211914,11
core_d_count,1008.5367360711098,11
core_e_count,4843.735673189163,11
core_f_count,1176.697187423706,11
core_g_count,3481.382330417633,11
core_h_count,190.97980308532715,11
core_i_count,1266.386607170105,11
core_k_count,1407.649451136589,11
core_l_count,1811.695063829422,11
core_m_count,345.78379344940186,11
core_n_count,314.04752945899963,11
core_p_count,2150.1044404506683,11
core_q_count,203.99319696426392,11
core_r_count,840.7327526211739,11
core_s_count,399.9869327545166,11
core_t_count,675.9696607589722,11
core_v_count,380.52205085754395,11
core_w_count,97.27880859375,11
core_y_count,281.459623336792,11
cluster,37397.4031560421,11
hla_mean,818265.9836938977,11
hla_std,277921.87893009186,11
allele_type_mean,71765.5354168415,11
allele_type_std,53313.356934547424,11
core_P1_mean,32426.7153916955,11
core_P1_std,12082.309255838394,11
core_P2_mean,34695.49582082033,11
core_P2_std,9790.265962064266,11
core_P3_mean,34607.91316688061,11
core_P3_std,9445.500822842121,11
core_P4_mean,34360.74476867914,11
core_P4_std,10031.536705851555,11
core_P5_mean,23613.481545627117,11
core_P5_std,9943.60421794653,11
core_P6_mean,19316.422357022762,11
core_P6_std,12888.249033868313,11
core_P7_mean,17568.434022068977,11
core_P7_std,13516.6940715909,11
core_P8_mean,17149.45658493042,11
core_P8_std,12218.603417515755,11
core_P9_mean,17859.970648407936,11
core_P9_std,12017.300404787064,11
LPFR_P1_mean,49852.14308440685,11
LPFR_P1_std,21145.657423496246,11
LPFR_P2_mean,58513.24485081434,11
LPFR_P2_std,14983.416502058506,11
LPFR_P3_mean,67126.73193007708,11
LPFR_P3_std,18964.474780082703,11
RPFR_P1_mean,52412.8658593297,11
RPFR_P1_std,17129.734411597252,11
RPFR_P2_mean,54337.42170935869,11
RPFR_P2_std,21890.43407678604,11
RPFR_P3_mean,65502.612246870995,11
RPFR_P3_std,22607.55899477005,11
cluster_mean,830452.7982949615,11
cluster_std,76665.20920729637,11
peptide_nunique,79829.44043529034,11
unique_rate,113982.00037449598,11
p1,15839.744188189507,11
p2,15636.014841377735,11
p3,21791.0802718997,11
p4,18491.33728504181,11
p5,17361.238767683506,11
p6,16794.85476231575,11
p7,16655.30795252323,11
p8,16187.009480953217,11
p9,14947.11845767498,11
blosum_sum,63294.56673544645,11
hla,435878.09912109375,11
allele_type,153.33236932754517,11
length,202575.0864867866,11
n_label,29655.701823562384,11
len_LPFR,94.95196408033371,11
len_RPFR,11018.898955136538,11
len_peptide_transform,5671.39627841115,11
core_P1,18467.02675139904,11
core_P2,16275.420005232096,11
core_P3,16719.175176501274,11
core_P4,16851.112829506397,11
core_P5,14726.052823871374,11
core_P6,16838.02841666341,11
core_P7,14835.855529129505,11
core_P8,14815.954939454794,11
core_P9,16695.58020362258,11
LPFR_P1,21232.69387936592,11
LPFR_P2,26313.99251484871,11
LPFR_P3,25288.003172159195,11
RPFR_P1,26459.63635826111,11
RPFR_P2,27179.572301864624,11
RPFR_P3,37010.80856004357,11
core_atfidf,189082.2723119259,11
core_ctfidf,24305.96473917365,11
core_dtfidf,143481.83731895685,11
core_etfidf,90797.72258883715,11
core_ftfidf,98712.86465203762,11
core_gtfidf,105511.56713116169,11
